TESTY;WYSOKOSC;SZEROKOSC;PROPORCJA;MATERIALY;DOMKI;KOPALNIE;SREDNIA SIEC;NAJGORSZA SIEC;NAJLEPSZA SIEC;SREDNIA ALGORYTM;NAJGORSZA ALGORYTM;NAJLEPSZA ALGORYTM
10;4;8;0.7;2;22.6;9.4;0.00041573047637939454;0.0004878044128417969;0.00032448768615722656;0.020482897758483887;0.03151965141296387;0.01295614242553711
10;4;8;0.7;5;23.1;8.9;0.00042982101440429686;0.0006380081176757812;0.00025725364685058594;0.01121814250946045;0.018788814544677734;0.003565073013305664
10;4;8;0.7;8;24.4;7.6;0.0003401041030883789;0.00043320655822753906;0.0002574920654296875;0.008119773864746094;0.013853788375854492;0.0037992000579833984
10;4;8;0.9;2;29.3;2.7;0.00027575492858886717;0.0007860660552978516;0.00012302398681640625;0.0054962396621704105;0.013663768768310547;0.0005466938018798828
10;4;8;0.9;5;28.8;3.3;0.00020630359649658202;0.00029730796813964844;0.00012803077697753906;0.003044724464416504;0.010278940200805664;0.00015854835510253906
10;4;8;0.9;8;28.8;3.2;0.00020036697387695312;0.00026416778564453125;0.00010323524475097656;0.0027968168258666994;0.007262706756591797;0.0007519721984863281
10;4;10;0.5;2;20.0;20.0;0.0009902715682983398;0.001851797103881836;0.0006735324859619141;0.08273878097534179;0.0975344181060791;0.07018685340881348
10;4;10;0.5;5;20.8;19.2;0.0010526180267333984;0.002187013626098633;0.0006771087646484375;0.03537392616271973;0.054999589920043945;0.015703201293945312
10;4;10;0.5;8;18.4;21.6;0.0008329153060913086;0.0013401508331298828;0.0007164478302001953;0.040407347679138186;0.06246805191040039;0.026062965393066406
10;4;10;0.7;2;27.8;12.2;0.0007914304733276367;0.0011839866638183594;0.00043511390686035156;0.06279981136322021;0.09185194969177246;0.01182103157043457
10;4;10;0.7;5;27.3;12.7;0.0008092164993286133;0.0015876293182373047;0.00043773651123046875;0.039945435523986814;0.06349611282348633;0.01346278190612793
10;4;10;0.7;8;28.0;12.0;0.0009835243225097656;0.0016782283782958984;0.00048422813415527344;0.037420129776000975;0.05290865898132324;0.023035764694213867
10;4;10;0.9;2;35.9;4.2;0.0003826379776000977;0.0007491111755371094;0.00018978118896484375;0.014618849754333496;0.03193974494934082;0.0008828639984130859
10;4;10;0.9;5;35.3;4.7;0.00037994384765625;0.0006189346313476562;0.00024127960205078125;0.013390612602233887;0.04434561729431152;0.0017769336700439453
10;4;10;0.9;8;36.9;3.1;0.00032067298889160156;0.0005166530609130859;0.00018548965454101562;0.005867385864257812;0.016293764114379883;0.002005338668823242
10;4;12;0.5;2;24.7;23.3;0.0011634111404418945;0.0013720989227294922;0.001050710678100586;0.19803171157836913;0.2544515132904053;0.1499619483947754
10;4;12;0.5;5;24.5;23.5;0.001187443733215332;0.0014491081237792969;0.0010485649108886719;0.09195845127105713;0.12380170822143555;0.04308056831359863
10;4;12;0.5;8;25.2;22.8;0.0011234760284423828;0.0013937950134277344;0.0009844303131103516;0.07521824836730957;0.10610485076904297;0.03645181655883789
10;4;12;0.7;2;32.9;15.1;0.0009998321533203126;0.0015740394592285156;0.0006592273712158203;0.1707465171813965;0.24846744537353516;0.11088800430297852
10;4;12;0.7;5;33.1;14.9;0.0009097814559936524;0.0012161731719970703;0.0007190704345703125;0.08240010738372802;0.11044979095458984;0.04988217353820801
10;4;12;0.7;8;31.5;16.5;0.0010538816452026368;0.0014994144439697266;0.0006580352783203125;0.07815988063812256;0.1256253719329834;0.05089879035949707
10;4;12;0.9;2;43.0;5.0;0.00046911239624023435;0.000736236572265625;0.00022912025451660156;0.031890702247619626;0.09989285469055176;0.0041730403900146484
10;4;12;0.9;5;43.7;4.3;0.00037405490875244143;0.0006697177886962891;0.00019931793212890625;0.01561133861541748;0.05372190475463867;0.004370689392089844
10;4;12;0.9;8;43.6;4.4;0.00041878223419189453;0.0006532669067382812;0.0002532005310058594;0.013065266609191894;0.03328371047973633;0.002989530563354492
10;4;15;0.5;2;30.9;29.1;0.0019673824310302733;0.0024890899658203125;0.0017161369323730469;0.5647293329238892;0.6272566318511963;0.4942657947540283
10;4;15;0.5;5;29.9;30.1;0.0019928455352783204;0.002791166305541992;0.0015707015991210938;0.31563529968261717;0.39152026176452637;0.22553372383117676
10;4;15;0.5;8;30.8;29.2;0.002164483070373535;0.0030324459075927734;0.0017147064208984375;0.2677784442901611;0.3502316474914551;0.18024778366088867
10;4;15;0.7;2;42.1;17.9;0.0016446113586425781;0.0026471614837646484;0.0014371871948242188;0.48183836936950686;0.6750335693359375;0.2722158432006836
10;4;15;0.7;5;41.6;18.4;0.0017177581787109375;0.002470254898071289;0.001336812973022461;0.2847407102584839;0.3739016056060791;0.1588456630706787
10;4;15;0.7;8;42.2;17.8;0.0018230199813842774;0.003221273422241211;0.0011832714080810547;0.24062154293060303;0.3545491695404053;0.11894536018371582
10;4;15;0.9;2;54.4;5.6;0.0006633281707763671;0.0009584426879882812;0.0005156993865966797;0.05116748809814453;0.0932307243347168;0.020908117294311523
10;4;15;0.9;5;53.7;6.3;0.0007351160049438477;0.001058816909790039;0.00044798851013183594;0.05264711380004883;0.12933969497680664;0.006456136703491211
10;4;15;0.9;8;55.2;4.8;0.000874018669128418;0.001331329345703125;0.00045561790466308594;0.05345642566680908;0.139923095703125;0.011472702026367188
10;6;4;0.5;2;11.8;12.2;0.0008664131164550781;0.003448963165283203;0.0004875659942626953;0.014808011054992676;0.024998903274536133;0.002247333526611328
10;6;4;0.5;5;11.4;12.6;0.0005332469940185547;0.0008602142333984375;0.000324249267578125;0.007981181144714355;0.02533555030822754;0.0016474723815917969
10;6;4;0.5;8;11.3;12.7;0.0005779743194580078;0.0008065700531005859;0.00039005279541015625;0.007697558403015137;0.020093441009521484;0.0023365020751953125
10;6;4;0.7;2;17.2;6.8;0.0005911827087402344;0.0021877288818359375;0.00025153160095214844;0.008457708358764648;0.013977766036987305;0.0027709007263183594
10;6;4;0.7;5;17.5;6.5;0.0002941608428955078;0.0005898475646972656;0.00015282630920410156;0.003977465629577637;0.008556604385375977;0.0002307891845703125
10;6;4;0.7;8;16.8;7.2;0.00028553009033203123;0.0005197525024414062;0.0002002716064453125;0.004094362258911133;0.007128477096557617;0.0020380020141601562
10;6;4;0.9;2;21.8;2.2;0.00013957023620605468;0.0001914501190185547;9.179115295410156e-05;0.0012908935546875;0.003184795379638672;0.0003390312194824219
10;6;4;0.9;5;21.9;2.2;0.0001326322555541992;0.00017499923706054688;0.00010228157043457031;0.0009888410568237305;0.0034356117248535156;0.00016069412231445312
10;6;4;0.9;8;21.9;2.2;0.00017955303192138672;0.0005509853363037109;9.036064147949219e-05;0.0013259649276733398;0.005459308624267578;0.00011682510375976562
10;6;6;0.5;2;18.1;17.9;0.0008219242095947266;0.0012843608856201172;0.0004935264587402344;0.048810791969299314;0.06785011291503906;0.03225278854370117
10;6;6;0.5;5;17.3;18.7;0.0009613513946533203;0.0016121864318847656;0.0006170272827148438;0.025570058822631837;0.03414416313171387;0.011434078216552734
10;6;6;0.5;8;17.7;18.3;0.000623011589050293;0.0007607936859130859;0.0005669593811035156;0.022370195388793944;0.0367124080657959;0.015169858932495117
10;6;6;0.7;2;24.9;11.1;0.0009903669357299804;0.0016341209411621094;0.0004394054412841797;0.06289031505584716;0.09295511245727539;0.02383255958557129
10;6;6;0.7;5;25.6;10.4;0.0006215095520019532;0.001008749008178711;0.0003783702850341797;0.022033214569091797;0.042917490005493164;0.010300636291503906
10;6;6;0.7;8;24.8;11.2;0.0005896568298339843;0.0010287761688232422;0.0004448890686035156;0.0233583927154541;0.03807687759399414;0.013646125793457031
10;6;6;0.9;2;32.7;3.4;0.0004986047744750977;0.0007944107055664062;0.00022172927856445312;0.013689041137695312;0.042513132095336914;0.0012891292572021484
10;6;6;0.9;5;31.9;4.1;0.000579071044921875;0.0007281303405761719;0.0004267692565917969;0.009241604804992675;0.01564168930053711;0.0018947124481201172
10;6;6;0.9;8;32.7;3.4;0.0004894495010375977;0.0006430149078369141;0.00030875205993652344;0.010157561302185059;0.030422687530517578;0.0014858245849609375
10;6;8;0.5;2;24.8;23.2;0.0012987375259399414;0.002058744430541992;0.0010275840759277344;0.190055775642395;0.3488476276397705;0.10544443130493164
10;6;8;0.5;5;26.2;21.8;0.0015187025070190429;0.002147197723388672;0.0009033679962158203;0.11441478729248047;0.16210603713989258;0.06972312927246094
